_id,name,city_id,city,restaurant_type,food_type,cuisine[0],cuisine[1],image,rating,deliveryTime,isActive,address,location.type,location.coordinates[0],location.coordinates[1],openingHours.Monday,openingHours.Tuesday,openingHours.Wednesday,openingHours.Thursday,openingHours.Friday,openingHours.Saturday,openingHours.Sunday,priceRange,isOpen,__v
6824f7b01b886185f9bc927a,Spice Hub,6824f3333713dab9dbe5521d,Kakinada,HIGH,Non Veg,South Indian,Chinese,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVBJkXS-meeWA94pJm2_C8cIWEoNuEKWGPng&s,4.5,30 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc927b,Coastal Flavours,6824f3333713dab9dbe5521d,Kakinada,HIGH,Non Veg,Seafood,Andhra,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlkHOELaYt-udzwGOdp2s2W7XbJIbvJbBr9Q&s,4.3,25 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc927c,Guntur Tiffins,6824f3333713dab9dbe5521d,Kakinada,HIGH,Veg,Breakfast,South Indian,https://content.jdmagicbox.com/comp/visakhapatnam/i1/0891px891.x891.230329055754.r9i1/catalogue/vrs-guntur-tiffins-visakhapatnam-tiffin-services-4rymm315d3.jpg,4.2,20 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc927d,KFC,6824f3333713dab9dbe5521d,Kakinada,HIGH,Veg,Fast Food,Chicken,https://d2w46d36moy248.cloudfront.net/media/dine/KFC_imVFF4A.jpg,4.6,25 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc927e,Domino's Pizza,6824f3333713dab9dbe5521d,Kakinada,HIGH,Veg,Pizza,Italian,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlkHOELaYt-udzwGOdp2s2W7XbJIbvJbBr9Q&s0,4.4,30 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc927f,Burger King,6824f3333713dab9dbe5521d,Kakinada,HIGH,Veg,Fast Food,Burgers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlkHOELaYt-udzwGOdp2s2W7XbJIbvJbBr9Q&s,4.3,22 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc9280,Punjabi Zaika,6824f3333713dab9dbe5521d,Kakinada,HIGH,Non Veg,Punjabi,North Indian,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3aedymBQX4RJ6FcXj2HjHSwnr5gRS_wewfg&s,4.6,35 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc9281,Tandoori Tales,6824f3333713dab9dbe5521d,Kakinada,HIGH,Non Veg,Tandoori,Mughlai,https://encrypted-tbn0.gstatic.com/images?q=tbn:https://b.zmtcdn.com/data/pictures/chains/1/18726111/4dcd3a5664ac6d1dacb0b88567182002.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A&s,4.4,30 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc9282,Bombay Chaat House,6824f3333713dab9dbe5521d,Kakinada,HIGH,Veg,Street Food,Chaat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlkHOELaYt-udzwGOdp2s2W7XbJIbvJbBr9Q&s,4.1,20 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
6824f7b01b886185f9bc9283,Food Court,6824f3333713dab9dbe5521d,Kakinada,HIGH,Veg,Biryani,North Indian,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlkHOELaYt-udzwGOdp2s2W7XbJIbvJbBr9Q&s,4.5,35 mins,TRUE,"123 Beach Road, Kakinada, Andhra Pradesh",Point,82.2167,16.9335,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 9:00 PM,200 - 2000,TRUE,0
